tolerance.n.03	TOLERATE
allowance.n.06	AUTHORIZE_ADMIT
license.n.04	AUTHORIZE_ADMIT
authorization.n.04	AUTHORIZE_ADMIT
management.n.01	MANAGE
act.n.02	INCITE_INDUCE
abidance.n.03	TOLERATE
continuance.n.01	CONTINUE
adoption.n.01	AGREE_ACCEPT
blessing.n.01	APPROVE_PRAISE
support.n.02	FOLLOW_SUPPORT_SPONSOR_FUND
aid.n.02	HELP_HEAL_CARE_CURE
toleration.n.02	TOLERATE
conformity.n.02	MATCH
cooperation.n.01	ALLY_ASSOCIATE_MARRY
obedience.n.01	OBEY
submission.n.02	SUBJUGATE
airlift.n.01	CARRY_TRANSPORT
transportation.n.02	TRANSMIT
movement.n.11	MOVE-SOMETHING
change.n.03	DIVERSIFY
action.n.01	CARRY-OUT-ACTION
airmail.n.02	CARRY_TRANSPORT
mail.n.02	SEND
communication.n.01	SPEAK
carry.n.01	CARRY_TRANSPORT
cartage.n.01	CARRY_TRANSPORT
hauling.n.01	CARRY_TRANSPORT
transportation.n.05	CARRY_TRANSPORT
transaction.n.01	WORK
delivery.n.01	CARRY_TRANSPORT
drive.n.08	MOVE-BY-MEANS-OF
journey.n.01	TRAVEL
travel.n.01	TRAVEL
motion.n.06	LEAVE_DEPART_RUN-AWAY
ferry.n.02	CARRY_TRANSPORT
flight.n.02	FLY
freight.n.02	CARRY_TRANSPORT
draw.n.09	PULL
pull.n.01	PULL
propulsion.n.02	INCITE_INDUCE
importing.n.01	CARRY_TRANSPORT
lighterage.n.02	CARRY_TRANSPORT
packing.n.03	CARRY_TRANSPORT
portage.n.03	CARRY_TRANSPORT
porterage.n.02	CARRY_TRANSPORT
rail_technology.n.01	CARRY_TRANSPORT
technology.n.01	CREATE_MATERIALIZE
application.n.01	APPLY
use.n.01	USE
occupation.n.01	CAUSE-MENTAL-STATE
dispatch.n.02	CARRY_TRANSPORT
departure.n.01	LEAVE_DEPART_RUN-AWAY
smuggling.n.01	CARRY_TRANSPORT
tide.n.01	CARRY_TRANSPORT
happening.n.01	HAPPEN_OCCUR
transshipment.n.01	CARRY_TRANSPORT
puff.n.01	SPEAK
gust.n.01	TRAVEL
weather.n.01	CHANGE-APPEARANCE/STATE
absorption.n.01	ABSORB
sorption.n.01	ABSORB
sucking.n.01	ATTRACT_SUCK
consumption.n.01	EAT_BITE
absorption.n.02	ABSORB
adsorption.n.01	ABSORB
assimilation.n.03	ABSORB
imbibition.n.01	ABSORB
chemisorption.n.01	ABSORB
resorption.n.01	ABSORB
assimilation.n.02	CO-OPT
borrowing.n.01	LEARN
acquiring.n.01	CHANGE-APPEARANCE/STATE
approach.n.01	LEARN
conceptualization.n.01	CREATE_MATERIALIZE
creation.n.01	MOUNT_ASSEMBLE_PRODUCE
cinch.n.01	LEARN
undertaking.n.01	WORK
work.n.01	WORK
professionalization.n.01	CONVERT
socialization.n.03	TEACH
adoption.n.02	CO-OPT
proceeding.n.01	ORGANIZE
co-option.n.01	CO-OPT
choice.n.02	CHOOSE
co-option.n.02	CO-OPT
appointment.n.01	ASSIGN-SMT-TO-SMN
decision.n.01	SETTLE_CONCILIATE
engagement.n.07	PARTICIPATE
retraction.n.01	SPEAK
disavowal.n.01	REFUSE
denial.n.01	REFUSE
renunciation.n.04	SPEAK
rejection.n.01	REFUSE
catharsis.n.01	SPEAK
purge.n.02	WASH_CLEAN
cleaning.n.01	WASH_CLEAN
improvement.n.02	AMELIORATE
address.n.03	SPEAK
public_speaking.n.01	SPEAK
discussion.n.01	SPEAK
advertising.n.02	SPEAK
controversy.n.01	SPEAK
dispute.n.01	QUARREL_POLEMICIZE
disagreement.n.03	DISTINGUISH_DIFFER
articulation.n.03	SPEAK
expression.n.03	SPEAK
talk.n.05	SPEAK
gossip.n.02	REVEAL
report.n.02	REPRESENT
informing.n.02	INFORM
tattle.n.01	SPEAK
disclosure.n.01	REVEAL
bark.n.02	SPEAK
noise.n.01	MAKE-A-SOUND
sound.n.04	MAKE-A-SOUND
rumor.n.01	SPEAK
hesitation.n.03	STOP
pause.n.02	STOP
redaction.n.02	SPEAK
writing.n.01	CREATE_MATERIALIZE
chorus.n.01	SPEAK
intercommunication.n.01	SPEAK
complaint.n.03	SPEAK
gripe.n.01	SPEAK
presentation.n.04	SPEAK
proposal.n.03	PROPOSE
diversion.n.02	TURN_CHANGE-DIRECTION
turn.n.02	TURN_CHANGE-DIRECTION
change_of_direction.n.01	ORIENT
proclamation.n.02	SPEAK
verbalization.n.02	SPEAK
offer.n.01	OFFER
fibbing.n.01	DECEIVE
lying.n.01	DECEIVE
falsification.n.02	DECEIVE
wrongdoing.n.02	BEHAVE
gargle.n.02	SPEAK
giving.n.02	INFORM
conveyance.n.02	INFORM
transmission.n.02	TRANSMIT
release.n.09	SPEAK
gulp.n.02	SPEAK
reaction.n.03	REACT
harangue.n.01	SPEAK
declamation.n.01	CRITICIZE
hiss.n.01	MAKE-A-SOUND
raving.n.01	SPEAK
leak.n.05	SPEAK
lecture.n.03	SPEAK
education.n.04	TEACH
lecture.n.01	SPEAK
listing.n.02	RECORD
organization.n.06	ORGANIZE
mutter.n.01	SPEAK
commemoration.n.01	CELEBRATE_PARTY
ceremony.n.01	BEHAVE
sermon.n.01	SPEAK
talk.n.02	SPEAK
sass.n.01	SPEAK
rejoinder.n.01	ANSWER
reply.n.02	ANSWER
relation.n.04	SPEAK
narration.n.02	SPEAK
gasp.n.01	BREATH_BLOW
inhalation.n.01	BREATH_BLOW
panting.n.01	BREATH_BLOW
breathing.n.01	BREATH_BLOW
perjury.n.01	SPEAK
misdemeanor.n.01	VIOLATE
crime.n.01	VIOLATE
transgression.n.01	VIOLATE
peroration.n.01	SPEAK
prayer.n.02	SPEAK
request.n.02	ASK_REQUEST
prayer.n.01	SPEAK
worship.n.01	PERFORM
recitation.n.02	SPEAK
boom.n.01	MAKE-A-SOUND
affirmation.n.02	AFFIRM
telling.n.02	INFORM
communion.n.02	SPEAK
sigh.n.02	SPEAK
singalong.n.01	SING
singing.n.01	SING
presentation.n.02	SHOW
show.n.01	SHOW
entertainment.n.01	ENJOY
diversion.n.01	PLAY_SPORT/GAME
snivel.n.01	CRY
crying.n.01	CRY
whimper.n.01	SPEAK
spiel.n.01	SPEAK
channel.n.05	DIRECT_AIM_MANEUVER
spatter.n.01	MAKE-A-SOUND
withdrawal.n.01	SPEAK
voice.n.05	SPEAK
implementation.n.02	CREATE_MATERIALIZE
access.n.05	TAKE
processing.n.01	PREPARE
winning.n.01	TAKE
attainment.n.01	ACHIEVE
accomplishment.n.01	CARRY-OUT-ACTION
evolution.n.02	AMELIORATE
pickings.n.01	STEAL_DEPRIVE
catch.n.09	CATCH
touch.n.05	TOUCH
pickup.n.09	TAKE
admission.n.01	AUTHORIZE_ADMIT
entrance.n.03	APPEAR
arrival.n.02	ARRIVE
insertion.n.02	INSERT
inclusion.n.04	ADD
increase.n.05	INCREASE_ENLARGE_MULTIPLY
clearance.n.03	AUTHORIZE_ADMIT
authentication.n.02	GUARANTEE_ENSURE_PROMISE
